{'generations': 100, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 14.00, train_mean: 25.08, test_best: 5.66, test_mean: 9.22
FITNESS - train_best: 13.67, train_mean: 21.75, test_best: 5.31, test_mean: 8.12
FITNESS - train_best: 13.67, train_mean: 19.57, test_best: 5.31, test_mean: 7.38
FITNESS - train_best: 13.67, train_mean: 21.75, test_best: 5.03, test_mean: 8.20
FITNESS - train_best: 11.87, train_mean: 18.99, test_best: 4.84, test_mean: 7.30
FITNESS - train_best: 11.87, train_mean: 17.86, test_best: 4.55, test_mean: 6.81
FITNESS - train_best: 11.87, train_mean: 21.30, test_best: 4.55, test_mean: 8.18
FITNESS - train_best: 11.58, train_mean: 17.73, test_best: 4.55, test_mean: 6.88
FITNESS - train_best: 11.58, train_mean: 21.61, test_best: 4.55, test_mean: 8.38
FITNESS - train_best: 11.58, train_mean: 21.28, test_best: 4.55, test_mean: 8.11
FITNESS - train_best: 11.58, train_mean: 22.63, test_best: 4.55, test_mean: 8.85
FITNESS - train_best: 11.58, train_mean: 18.05, test_best: 4.55, test_mean: 6.90
FITNESS - train_best: 10.53, train_mean: 18.23, test_best: 4.22, test_mean: 7.16
FITNESS - train_best: 10.53, train_mean: 16.41, test_best: 4.22, test_mean: 6.37
FITNESS - train_best: 10.53, train_mean: 14.91, test_best: 4.22, test_mean: 5.83
FITNESS - train_best: 10.53, train_mean: 19.84, test_best: 4.22, test_mean: 7.47
FITNESS - train_best: 10.53, train_mean: 18.03, test_best: 4.22, test_mean: 6.92
FITNESS - train_best: 10.53, train_mean: 15.40, test_best: 3.91, test_mean: 6.05
FITNESS - train_best: 10.53, train_mean: 19.91, test_best: 3.91, test_mean: 7.47
FITNESS - train_best: 10.53, train_mean: 20.83, test_best: 3.91, test_mean: 8.03
FITNESS - train_best: 10.53, train_mean: 18.03, test_best: 3.91, test_mean: 6.94
FITNESS - train_best: 10.53, train_mean: 13.74, test_best: 3.91, test_mean: 5.33
FITNESS - train_best: 10.53, train_mean: 20.10, test_best: 3.91, test_mean: 7.60
FITNESS - train_best: 10.53, train_mean: 15.89, test_best: 3.91, test_mean: 6.18
FITNESS - train_best: 10.53, train_mean: 14.48, test_best: 3.91, test_mean: 5.58
FITNESS - train_best: 10.53, train_mean: 17.12, test_best: 3.87, test_mean: 6.45
FITNESS - train_best: 10.53, train_mean: 16.98, test_best: 3.87, test_mean: 6.42
FITNESS - train_best: 10.53, train_mean: 18.67, test_best: 3.87, test_mean: 6.98
FITNESS - train_best: 10.53, train_mean: 15.29, test_best: 3.87, test_mean: 5.85
FITNESS - train_best: 10.53, train_mean: 20.50, test_best: 3.87, test_mean: 7.56
FITNESS - train_best: 10.53, train_mean: 15.17, test_best: 3.87, test_mean: 5.66
FITNESS - train_best: 10.53, train_mean: 14.97, test_best: 3.87, test_mean: 5.67
FITNESS - train_best: 10.53, train_mean: 18.69, test_best: 3.87, test_mean: 7.05
FITNESS - train_best: 10.53, train_mean: 13.14, test_best: 3.87, test_mean: 4.88
FITNESS - train_best: 10.53, train_mean: 16.15, test_best: 3.87, test_mean: 6.14
FITNESS - train_best: 10.53, train_mean: 16.80, test_best: 3.87, test_mean: 6.27
FITNESS - train_best: 9.35, train_mean: 13.89, test_best: 3.64, test_mean: 5.12
FITNESS - train_best: 9.35, train_mean: 17.51, test_best: 3.64, test_mean: 6.46
FITNESS - train_best: 9.35, train_mean: 16.14, test_best: 3.64, test_mean: 5.95
FITNESS - train_best: 9.34, train_mean: 15.98, test_best: 3.64, test_mean: 5.98
FITNESS - train_best: 9.34, train_mean: 15.12, test_best: 3.64, test_mean: 5.48
FITNESS - train_best: 9.34, train_mean: 15.17, test_best: 3.64, test_mean: 5.55
FITNESS - train_best: 9.34, train_mean: 16.69, test_best: 3.64, test_mean: 6.19
FITNESS - train_best: 9.34, train_mean: 15.89, test_best: 3.64, test_mean: 5.93
FITNESS - train_best: 9.34, train_mean: 13.45, test_best: 3.64, test_mean: 5.21
FITNESS - train_best: 9.34, train_mean: 17.86, test_best: 3.64, test_mean: 6.62
FITNESS - train_best: 9.34, train_mean: 17.10, test_best: 3.64, test_mean: 6.35
FITNESS - train_best: 9.34, train_mean: 12.53, test_best: 3.64, test_mean: 4.81
FITNESS - train_best: 9.34, train_mean: 12.40, test_best: 3.64, test_mean: 4.65
FITNESS - train_best: 9.34, train_mean: 16.55, test_best: 3.64, test_mean: 6.31
FITNESS - train_best: 9.34, train_mean: 15.23, test_best: 3.64, test_mean: 5.77
FITNESS - train_best: 9.34, train_mean: 18.06, test_best: 3.64, test_mean: 6.72
FITNESS - train_best: 9.34, train_mean: 13.93, test_best: 3.64, test_mean: 5.19
FITNESS - train_best: 9.34, train_mean: 16.53, test_best: 3.64, test_mean: 6.10
FITNESS - train_best: 9.34, train_mean: 14.27, test_best: 3.64, test_mean: 5.42
FITNESS - train_best: 9.34, train_mean: 15.29, test_best: 3.64, test_mean: 5.79
FITNESS - train_best: 9.29, train_mean: 10.52, test_best: 3.64, test_mean: 4.05
FITNESS - train_best: 9.29, train_mean: 13.25, test_best: 3.64, test_mean: 5.04
FITNESS - train_best: 9.29, train_mean: 13.37, test_best: 3.64, test_mean: 5.07
FITNESS - train_best: 9.29, train_mean: 11.78, test_best: 3.63, test_mean: 4.54
FITNESS - train_best: 9.29, train_mean: 13.82, test_best: 3.63, test_mean: 5.26
FITNESS - train_best: 9.29, train_mean: 15.19, test_best: 3.63, test_mean: 5.58
FITNESS - train_best: 9.26, train_mean: 11.43, test_best: 3.62, test_mean: 4.42
FITNESS - train_best: 9.26, train_mean: 13.45, test_best: 3.63, test_mean: 5.09
FITNESS - train_best: 9.26, train_mean: 13.96, test_best: 3.63, test_mean: 5.24
FITNESS - train_best: 9.13, train_mean: 15.34, test_best: 3.60, test_mean: 5.92
FITNESS - train_best: 9.13, train_mean: 19.41, test_best: 3.60, test_mean: 7.21
FITNESS - train_best: 9.13, train_mean: 16.85, test_best: 3.60, test_mean: 6.33
FITNESS - train_best: 9.13, train_mean: 10.61, test_best: 3.60, test_mean: 4.10
FITNESS - train_best: 9.13, train_mean: 16.32, test_best: 3.60, test_mean: 6.25
FITNESS - train_best: 9.13, train_mean: 14.00, test_best: 3.60, test_mean: 5.32
record 1	 prediction:      643	actual:     9724	difference:   -93%
record 2	 prediction:     5329	actual:     2007	difference:   165%
record 3	 prediction:     6404	actual:     7337	difference:   -12%
record 4	 prediction:   -17153	actual:     7173	difference:  -339%
record 5	 prediction:    -5617	actual:     6940	difference:  -180%
record 6	 prediction:     3144	actual:     7077	difference:   -55%
record 7	 prediction:    -2199	actual:     7441	difference:  -129%
record 8	 prediction:    40471	actual:    48517	difference:   -16%
record 9	 prediction:    14800	actual:    17179	difference:   -13%
record 10	 prediction:   -19048	actual:    18157	difference:  -204%
{'generations': 100, 'population_size': 100, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 1231.86, train_mean: 4379.61, test_best: 431.94, test_mean: 1467.20
FITNESS - train_best: 720.85, train_mean: 3309.25, test_best: 266.70, test_mean: 1113.99
FITNESS - train_best: 720.85, train_mean: 2509.21, test_best: 266.70, test_mean: 850.19
FITNESS - train_best: 720.85, train_mean: 2009.46, test_best: 266.70, test_mean: 685.28
FITNESS - train_best: 645.47, train_mean: 1677.53, test_best: 236.01, test_mean: 573.11
FITNESS - train_best: 542.89, train_mean: 1415.63, test_best: 206.18, test_mean: 484.65
FITNESS - train_best: 310.66, train_mean: 1137.18, test_best: 107.96, test_mean: 392.33
FITNESS - train_best: 310.66, train_mean: 897.14, test_best: 107.96, test_mean: 313.75
FITNESS - train_best: 310.66, train_mean: 728.29, test_best: 107.96, test_mean: 258.03
FITNESS - train_best: 261.24, train_mean: 624.45, test_best: 94.26, test_mean: 223.18
FITNESS - train_best: 194.55, train_mean: 543.85, test_best: 71.47, test_mean: 194.71
FITNESS - train_best: 92.94, train_mean: 445.72, test_best: 29.37, test_mean: 158.96
FITNESS - train_best: 70.38, train_mean: 356.57, test_best: 27.26, test_mean: 127.43
FITNESS - train_best: 70.38, train_mean: 275.37, test_best: 27.26, test_mean: 97.96
FITNESS - train_best: 56.94, train_mean: 216.57, test_best: 19.37, test_mean: 76.53
FITNESS - train_best: 56.94, train_mean: 163.14, test_best: 19.37, test_mean: 57.96
FITNESS - train_best: 34.44, train_mean: 132.90, test_best: 12.16, test_mean: 47.04
FITNESS - train_best: 34.44, train_mean: 104.73, test_best: 12.16, test_mean: 37.28
FITNESS - train_best: 30.61, train_mean: 85.50, test_best: 10.32, test_mean: 30.45
FITNESS - train_best: 30.61, train_mean: 74.38, test_best: 10.32, test_mean: 26.51
FITNESS - train_best: 29.37, train_mean: 67.50, test_best: 10.32, test_mean: 23.77
FITNESS - train_best: 29.37, train_mean: 63.58, test_best: 10.32, test_mean: 22.43
FITNESS - train_best: 29.37, train_mean: 58.87, test_best: 10.32, test_mean: 20.85
FITNESS - train_best: 29.37, train_mean: 53.89, test_best: 10.28, test_mean: 18.72
FITNESS - train_best: 23.45, train_mean: 51.49, test_best: 7.98, test_mean: 18.19
FITNESS - train_best: 23.45, train_mean: 46.06, test_best: 7.98, test_mean: 16.18
FITNESS - train_best: 22.47, train_mean: 40.25, test_best: 7.81, test_mean: 14.08
FITNESS - train_best: 22.47, train_mean: 43.24, test_best: 7.81, test_mean: 14.87
FITNESS - train_best: 20.12, train_mean: 41.62, test_best: 7.81, test_mean: 14.33
FITNESS - train_best: 18.10, train_mean: 38.49, test_best: 6.72, test_mean: 13.25
FITNESS - train_best: 18.10, train_mean: 38.18, test_best: 6.72, test_mean: 13.16
FITNESS - train_best: 18.10, train_mean: 33.71, test_best: 6.72, test_mean: 11.53
FITNESS - train_best: 18.10, train_mean: 35.69, test_best: 6.72, test_mean: 12.37
FITNESS - train_best: 18.10, train_mean: 32.41, test_best: 6.72, test_mean: 11.21
FITNESS - train_best: 18.10, train_mean: 32.85, test_best: 6.72, test_mean: 11.22
FITNESS - train_best: 18.10, train_mean: 30.79, test_best: 6.72, test_mean: 10.63
FITNESS - train_best: 16.55, train_mean: 31.26, test_best: 6.41, test_mean: 10.80
FITNESS - train_best: 16.55, train_mean: 30.28, test_best: 6.41, test_mean: 10.49
FITNESS - train_best: 16.55, train_mean: 25.64, test_best: 6.37, test_mean: 8.98
FITNESS - train_best: 16.55, train_mean: 27.77, test_best: 6.08, test_mean: 9.81
FITNESS - train_best: 16.50, train_mean: 24.93, test_best: 6.07, test_mean: 8.91
FITNESS - train_best: 16.50, train_mean: 26.82, test_best: 5.83, test_mean: 9.53
